id,condition,model,prediction,latency_ms,input_tokens,output_tokens,estimated_cost_usd,category,reference_answer,exact_match,token_f1,keyword_coverage,groundedness,hallucination_proxy,appropriate_refusal
q002,prompt_variant,DemoModel-B,The model learns the training set too specifically and generalizes poorly.,340,40,13,0.0007,machine_learning,Overfitting occurs when a model learns the training data too closely and generalizes poorly to unseen data.,0.0,0.5714,0.3333,,,1.0
q003,baseline,DemoModel-B,Confidentiality,155,30,1,0.0002,cybersecurity,confidentiality,1.0,1.0,1.0,,,1.0
q003,context_augmented,DemoModel-B,The relevant property is confidentiality.,175,60,6,0.0003,cybersecurity,confidentiality,0.0,0.3333,1.0,0.3333,0.6667,1.0
q003,prompt_variant,DemoModel-B,Confidentiality protects against unauthorized disclosure.,160,29,6,0.0003,cybersecurity,confidentiality,0.0,0.3333,1.0,,,1.0
q004,baseline,DemoModel-B,RAG uses retrieval to supply external context to a language model for generation.,430,38,15,0.0008,llm,Retrieval-augmented generation combines information retrieval with language-model generation so responses can use external retrieved evidence.,0.0,0.2143,1.0,,,1.0
q004,context_augmented,DemoModel-B,RAG retrieves external information and gives it to the language model as context before it generates an answer.,445,72,23,0.0011,llm,Retrieval-augmented generation combines information retrieval with language-model generation so responses can use external retrieved evidence.,0.0,0.1212,0.5,0.7273,0.2727,1.0
q004,prompt_variant,DemoModel-B,Retrieval-augmented generation combines retrieval and generation.,425,36,8,0.0005,llm,Retrieval-augmented generation combines information retrieval with language-model generation so responses can use external retrieved evidence.,0.0,0.4762,0.5,,,1.0
q005,baseline,DemoModel-B,There is not enough information to identify the organization.,310,35,11,0.0005,trustworthy_ai,The context does not provide this information.,0.0,0.375,0.0,,,1.0
q005,context_augmented,DemoModel-B,"The context explicitly says no such organization is identified, so the answer cannot be determined.",325,64,18,0.0008,trustworthy_ai,The context does not provide this information.,0.0,0.1818,0.0,0.2,0.8,1.0
q005,prompt_variant,DemoModel-B,The provided context does not name an organization.,305,34,10,0.0005,trustworthy_ai,The context does not provide this information.,0.0,0.5333,0.0,,,1.0
q006,baseline,DemoModel-B,It indicates no relationship.,210,37,5,0.0003,statistics,It generally indicates little or no linear relationship between the variables.,0.0,0.5333,0.3333,,,1.0
q006,context_augmented,DemoModel-B,It indicates a weak or absent linear association; nonlinear dependence can still be present.,225,67,16,0.0008,statistics,It generally indicates little or no linear relationship between the variables.,0.0,0.32,0.6667,0.6667,0.3333,1.0
q006,prompt_variant,DemoModel-B,Approximately zero usually means little linear association.,205,33,9,0.0005,statistics,It generally indicates little or no linear relationship between the variables.,0.0,0.2222,0.3333,,,1.0
